"atlassian_light_token_cleaned","atlassian_value","atlassian_type","atlassian_description"
"ds-background-accent-green-subtler-hovered","#7EE2B8","color",
"ds-background-accent-green-subtler-pressed","#4BCE97","color",
"ds-background-accent-green-subtle","#4BCE97","color",
"ds-background-accent-green-subtle-hovered","#7EE2B8","color",
"ds-background-accent-green-subtle-pressed","#BAF3DB","color",
"ds-background-accent-green-bolder","#1F845A","color",
"ds-background-accent-green-bolder-hovered","#216E4E","color",
"ds-background-accent-green-bolder-pressed","#164B35","color",
"ds-background-accent-teal-subtlest","#E7F9FF","color",
"ds-background-accent-teal-subtlest-hovered","#C6EDFB","color",
"ds-background-accent-teal-subtlest-pressed","#9DD9EE","color",
"ds-background-accent-teal-subtler","#C6EDFB","color",
"ds-background-accent-teal-subtler-hovered","#9DD9EE","color",
"ds-background-accent-teal-subtler-pressed","#6CC3E0","color",
"ds-background-accent-teal-subtle","#6CC3E0","color",
"ds-background-accent-teal-subtle-hovered","#9DD9EE","color",
"ds-background-accent-teal-subtle-pressed","#C6EDFB","color",
"ds-background-accent-teal-bolder","#227D9B","color",
"ds-background-accent-teal-bolder-hovered","#206A83","color",
"ds-background-accent-teal-bolder-pressed","#164555","color",
"ds-background-accent-blue-subtlest","#E9F2FF","color",
"ds-background-accent-blue-subtlest-hovered","#CCE0FF","color",
"ds-background-accent-blue-subtlest-pressed","#85B8FF","color",
"ds-background-accent-blue-subtler","#CCE0FF","color",
"ds-background-accent-blue-subtler-hovered","#85B8FF","color",
"ds-background-accent-blue-subtler-pressed","#579DFF","color",
"ds-background-accent-blue-subtle","#579DFF","color",
"ds-background-accent-blue-subtle-hovered","#85B8FF","color",
"ds-background-accent-blue-subtle-pressed","#CCE0FF","color",
"ds-background-accent-blue-bolder","#0C66E4","color",
"ds-background-accent-blue-bolder-hovered","#0055CC","color",
"ds-background-accent-blue-bolder-pressed","#09326C","color",
"ds-background-accent-purple-subtlest","#F3F0FF","color",
"ds-background-accent-purple-subtlest-hovered","#DFD8FD","color",
"ds-background-accent-purple-subtlest-pressed","#B8ACF6","color",
"ds-background-accent-purple-subtler","#DFD8FD","color",
"ds-background-accent-purple-subtler-hovered","#B8ACF6","color",
"ds-background-accent-purple-subtler-pressed","#9F8FEF","color",
"ds-background-accent-purple-subtle","#9F8FEF","color",
"ds-background-accent-purple-subtle-hovered","#B8ACF6","color",
"ds-background-accent-purple-subtle-pressed","#DFD8FD","color",
"ds-background-accent-purple-bolder","#6E5DC6","color",
"ds-background-accent-purple-bolder-hovered","#5E4DB2","color",
"ds-background-accent-purple-bolder-pressed","#352C63","color",
"ds-background-accent-magenta-subtlest","#FFECF8","color",
"ds-background-accent-magenta-subtlest-hovered","#FDD0EC","color",
"ds-background-accent-magenta-subtlest-pressed","#F797D2","color",
"ds-background-accent-magenta-subtler","#FDD0EC","color",
"ds-background-accent-magenta-subtler-hovered","#F797D2","color",
"ds-background-accent-magenta-subtler-pressed","#E774BB","color",
"ds-background-accent-magenta-subtle","#E774BB","color",
"ds-background-accent-magenta-subtle-hovered","#F797D2","color",
"ds-background-accent-magenta-subtle-pressed","#FDD0EC","color",
"ds-background-accent-magenta-bolder","#AE4787","color",
"ds-background-accent-magenta-bolder-hovered","#943D73","color",
"ds-background-accent-magenta-bolder-pressed","#50253F","color",
"ds-background-accent-gray-subtlest","#F1F2F4","color",
"ds-background-accent-gray-subtlest-hovered","#DCDFE4","color",
